label_index,dataset,label,response
0,skin,necrosis,"{'id': 'chatcmpl-9DuVRSH3SKlqDFOLznTBMc5yCSvdW', 'object': 'chat.completion', 'created': 1713102501, 'model': 'gpt-4-0613', 'choices': [{'index': 0, 'message': {'role': 'assistant', 'content': '1. Cell Death\n2. Tissue Disintegration\n3. Inflammatory Response\n4. Vacuolization\n5. Loss of Nuclei\n6. Pyknotic Cells'}, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 50, 'completion_tokens': 40, 'total_tokens': 90}, 'system_fingerprint': None}"
1,skin,skeletal muscle,"{'id': 'chatcmpl-9DuVTpAt6kzhu51jtUtrzoxoZaXHc', 'object': 'chat.completion', 'created': 1713102503, 'model': 'gpt-4-0613', 'choices': [{'index': 0, 'message': {'role': 'assistant', 'content': '1. Muscle Fibers\n2. Cross-Striations\n3. Nuclei Location\n4. Connective Tissue\n5. Inflammatory Cells\n6. Fiber Atrophy'}, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 50, 'completion_tokens': 38, 'total_tokens': 88}, 'system_fingerprint': None}"
2,skin,eccrine sweat glands,"{'id': 'chatcmpl-9DuVUrEVnGzzgLUGfhYNggmlZGalU', 'object': 'chat.completion', 'created': 1713102504, 'model': 'gpt-4-0613', 'choices': [{'index': 0, 'message': {'role': 'assistant', 'content': '1. Coiled Tubular Structures\n2. Ductal Arrays\n3. Clear Cytoplasm\n4. Dark Nuclei\n5. Intradermal Location\n6. Epithelial Layers'}, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 52, 'completion_tokens': 42, 'total_tokens': 94}, 'system_fingerprint': None}"
3,skin,vessels,"{'id': 'chatcmpl-9DuVWODktSXprRK2yZ6z9CGDanEaC', 'object': 'chat.completion', 'created': 1713102506, 'model': 'gpt-4-0613', 'choices': [{'index': 0, 'message': {'role': 'assistant', 'content': '1. Lumen formation\n2. Wall thickness\n3. Endothelial cells\n4. Inflammation signs\n5. Hemorrhage presence\n6. Vessel distortion'}, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 49, 'completion_tokens': 37, 'total_tokens': 86}, 'system_fingerprint': None}"
4,skin,elastosis,"{'id': 'chatcmpl-9DuVY6H3tyRcTleSv3ed3byhFcRg5', 'object': 'chat.completion', 'created': 1713102508, 'model': 'gpt-4-0613', 'choices': [{'index': 0, 'message': {'role': 'assistant', 'content': '1. Yellow Elastic Fibers\n2. Dermal Thickening\n3. Collagen Displacement\n4. Solar Degeneration\n5. Basophilic Staining\n6. Fibroblast Accumulation'}, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 50, 'completion_tokens': 42, 'total_tokens': 92}, 'system_fingerprint': None}"
5,skin,chondral tissue,"{'id': 'chatcmpl-9DuVarQ3K5kT0g26kHCBfYkuWOrJj', 'object': 'chat.completion', 'created': 1713102510, 'model': 'gpt-4-0613', 'choices': [{'index': 0, 'message': {'role': 'assistant', 'content': '1. Cartilage Cells\n2. Extracellular Matrix\n3. Collagen Fibers\n4. Lacunae Spaces\n5. Hyaline Appearance\n6. Chondrocyte Clusters'}, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 52, 'completion_tokens': 42, 'total_tokens': 94}, 'system_fingerprint': None}"
6,skin,hair follicle,"{'id': 'chatcmpl-9DuVcnCsbQD3unhE6qiom7n4aFM0c', 'object': 'chat.completion', 'created': 1713102512, 'model': 'gpt-4-0613', 'choices': [{'index': 0, 'message': {'role': 'assistant', 'content': '1. Hair Shaft\n2. Epithelial Cells\n3. Connective Tissue\n4. Sebaceous Glands\n5. Hair Bulb\n6. Dermal Papilla'}, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 51, 'completion_tokens': 39, 'total_tokens': 90}, 'system_fingerprint': None}"
7,skin,epidermis,"{'id': 'chatcmpl-9DuVei9V170ShYpeykqEgBwnaYSCh', 'object': 'chat.completion', 'created': 1713102514, 'model': 'gpt-4-0613', 'choices': [{'index': 0, 'message': {'role': 'assistant', 'content': '1. Stratified Layers\n2. Keratinized Cells\n3. Papillary Projections\n4. Skin Appendages\n5. Basal Membrane\n6. Intraepidermal Cells'}, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 51, 'completion_tokens': 41, 'total_tokens': 92}, 'system_fingerprint': None}"
8,skin,nerves,"{'id': 'chatcmpl-9DuVgVEAPcFPIUQRRfgIK29A1kqGd', 'object': 'chat.completion', 'created': 1713102516, 'model': 'gpt-4-0613', 'choices': [{'index': 0, 'message': {'role': 'assistant', 'content': '1. Axonal Structures\n2. Myelin Sheaths\n3. Schwann Cells\n4. Neural Inflammation\n5. Wallerian Degeneration\n6. Nerve Fibers'}, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 49, 'completion_tokens': 40, 'total_tokens': 89}, 'system_fingerprint': None}"
9,skin,subcutis,"{'id': 'chatcmpl-9DuViOrDuWanQOkxyYcpF0rhb0K1y', 'object': 'chat.completion', 'created': 1713102518, 'model': 'gpt-4-0613', 'choices': [{'index': 0, 'message': {'role': 'assistant', 'content': '1. Adipose Tissue\n2. Connective Tissues\n3. Blood Vessels\n4. Sweat Glands\n5. Hair Follicles\n6. Nerve Fibers'}, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 51, 'completion_tokens': 41, 'total_tokens': 92}, 'system_fingerprint': None}"
